"reference","quantity","part_ipn","note","Datasheet","option"
"C2","1","C_22uF_50V_2220_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/99/","2:500,2:1000,2:2000"
"C3","1","C_22uF_50V_2220_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/99/","4:500,4:1000,4:2000"
"C4","1","C_22uF_25V_1210_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/399/details","2:500,2:1000,2:2000"
"C5","1","C_22uF_50V_2220_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/99/","3:500,3:1000,3:2000"
"C6","1","C_22uF_25V_1210_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/399/details","4:500,4:1000,4:2000"
"C7","1","C_22uF_25V_1210_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/399/details","3:500,3:1000,3:2000"
"C8","1","C_4.7nF_2kV_1812_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/112/",""
"D1,D7,D10,D13","4","Standoff_nylon_M2_nut","","http://inventree.network/web/part/192/details",""
"D2,D3,D4","3","XL-1606SYGC","Green","http://inventree.network/part/278/",""
"D5,D9,D12,D15","4","Standoff_nylon_M2_screw","","http://inventree.network/web/part/193/details",""
"D6,D8,D11,D14","4","Standoff_nylon_M2_shaft_10mm","","http://inventree.network/web/part/199/details",""
"F1,F2","2","0217001.MXP","Fuse","http://inventree.network/web/part/71/details",""
"J1,J5","2","15EDGK-3.5-05P","Generic connector, single row, 01x10, script generated","http://inventree.network/part/250/",""
"J2","1","K7805-2000R3","K7805-2000R3","http://inventree.network/part/98/","3:2000"
"J3","1","K7803-2000R3","K7803-2000R3","http://inventree.network/part/118/","4:2000"
"J4","1","K7805-2000R3","K7805-2000R3","http://inventree.network/part/98/","2:2000"
"J6,J7","2","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/238/",""
"J8","1","AFA07-S20FCC-00","","http://inventree.network/web/part/329/details","5:B,5:TB"
"J9","1","15EDGK-3.5-03P","Generic connector, single row, 01x10, script generated","http://inventree.network/part/249/",""
"J10","1","15EDGRC-3.5-03P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/247/",""
"J11","1","AFA11-S12GLA-00","","http://inventree.network/web/part/398/details",""
"J12","1","AFA11-S20GLA-00","","http://inventree.network/web/part/383/details","5:T,5:TB"
"J13","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm","http://inventree.network/part/291/",""
"J14","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/285/details",""
"J15","1","FFC_20P_P1.0_50mm_straight","FFC 20pin 50mm","http://inventree.network/web/part/341/details",""
"J16","1","K7805-500R3","K7805-500R3","http://inventree.network/web/part/422/details","2:500"
"J17","1","K7805-1000R3","K7805-1000R3","http://inventree.network/web/part/423/details","2:1000"
"J18","1","K7805-500R3","K7805-500R3","http://inventree.network/web/part/422/details","3:500"
"J19","1","K7805-1000R3","K7805-1000R3","http://inventree.network/web/part/423/details","3:1000"
"J20","1","K7803-500R3","K7803-500R3","http://inventree.network/web/part/420/details","4:500"
"J21","1","K7803-1000R3","K7803-1000R3","http://inventree.network/web/part/421/details","4:1000"
"R4","1","R_10k_0603_1%","Resistor","http://inventree.network/part/222/",""
"R5","1","R_1k5_0603_1%","Resistor","",""
"R6","1","R_560R_0603_1%","Resistor","",""
"SP1","1","PMLED-10-v0.0.2","","",""
"U1","1","IRM-20-24","","http://inventree.network/part/143/","1:20"
"U2,U4","2","64900001039","5x20mm Fuseholder 6.3A 250V Littelfuse 6.3A PCB Mount Fuse Holder for 5 x 20mm Cartridge Fuse, 250 V","http://inventree.network/part/23/",""
"U3","1","IRM-05-24","","http://inventree.network/web/part/437/details","1:5"
"U5","1","IRM-10-24","","http://inventree.network/web/part/438/details","1:10"
"U6","1","IRM-15-24","","http://inventree.network/web/part/439/details","1:15"
