"reference","quantity","part_ipn","note","Datasheet","option"
"C7,C17","2","C_100nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/389/details","1:RS485"
"C8","1","C_10uF_50V_1206_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/400/details","1:RS485"
"C9,C11","2","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/255/details",""
"C10,C18","2","C_10uF_50V_1206_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/400/details",""
"C12","1","C_22uF_50V_2220_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/99/","2:500,2:1000,2:2000"
"C13","1","C_22uF_50V_2220_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/99/","3:500,3:1000,3:2000"
"C14","1","C_22uF_25V_1210_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/399/details","2:500,2:1000,2:2000"
"C15","1","C_22uF_25V_1210_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/399/details","3:500,3:1000,3:2000"
"C16,C19","2","C_100nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/389/details",""
"CR1","1","STWD100NYWY3F","","http://inventree.network/web/part/336/details",""
"J1","1","U254-051T-4BH83-S1S ","","http://inventree.network/part/136/",""
"J2","1","15EDGRC-3.5-06P","Generic connector, single row, 01x09, script generated","",""
"J3","1","K7803-2000R3","K7803-2000R3","http://inventree.network/part/118/","3:2000"
"J4","1","K7805-2000R3","K7805-2000R3","http://inventree.network/part/98/","2:2000"
"J5","1","AFA11-S12GLA-00","","http://inventree.network/web/part/398/details",""
"J6","1","15EDGRC-3.5-04P","Generic connector, single row, 01x09, script generated","http://inventree.network/web/part/344/details","1:RS485"
"J7","1","K7803-500R3","K7803-500R3","http://inventree.network/web/part/420/details","3:500"
"J8","1","K7803-1000R3","K7803-1000R3","http://inventree.network/web/part/421/details","3:1000"
"J9","1","K7805-500R3","K7805-500R3","http://inventree.network/web/part/422/details","2:500"
"J10","1","15EDGKC-3.5-04P","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/347/details","1:RS485"
"J11","1","K7805-1000R3","K7805-1000R3","http://inventree.network/web/part/423/details","2:1000"
"J15","1","FFC_20P_P1.0_50mm_straight","FFC 20pin 50mm","http://inventree.network/web/part/341/details",""
"JM1","1","AFA11-S20GLA-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","http://inventree.network/web/part/383/details","4:T,4:TB"
"JM2","1","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","","4:B,4:TB"
"R1","1","R_10k_0603_1%","Resistor","http://inventree.network/part/222/",""
"R5","1","R_330R_0603_1%","Resistor","http://inventree.network/part/235/",""
"R7,R8","2","R_3k3_0603_1%","Resistor","http://inventree.network/part/234/",""
"R12","1","R_120R_0603_1%","Resistor","http://inventree.network/web/part/366/details","1:RS485"
"RN1","1","R_10k_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/part/233/",""
"SP1","1","PMLED-10-v0.0.2","","",""
"SW1,SW2","2","TS-1088-AR02016 ","","http://inventree.network/part/139/",""
"U4","1","ESP32-C3-WROOM-02U-N4","","http://inventree.network/part/132/",""
"U5,U8","2","SN74LVC2G14DBVR","","http://inventree.network/part/216/",""
"U6","1","CA-IS3098W","","http://inventree.network/part/218/","1:RS485"
"U7","1","CA-IS3050G","","http://inventree.network/web/part/418/details",""
"U10","1","CDSOT23-SM712  ","","http://inventree.network/web/part/364/details","1:RS485"
